,lemma,total,1SG,1SG,1PL,1PL,2SG,2SG,2PL,2PL,3SG,3SG,3PL,3PL,other,other
47,accipio1,58,7,0.1207,1,0.0172,6,0.1034,1,0.0172,23,0.396551724137931,7,0.1207,13,0.2241
2047,pono1,56,4,0.0714,0,0,5,0.0893,1,0.0179,14,0.25,5,0.0893,27,0.4821
164,ago1,55,7,0.1273,2,0.0364,9,0.1636,2,0.0364,14,0.254545454545455,8,0.1455,13,0.2364
992,eo1,54,0,0,1,0.0185,5,0.0926,1,0.0185,14,0.259259259259259,6,0.1111,27,0.5
1193,fio1,53,1,0.0189,1,0.0189,1,0.0189,0,0,25,0.471698113207547,2,0.0377,23,0.434
1178,fero1,52,8,0.1538,0,0,4,0.0769,2,0.0385,15,0.288461538461538,9,0.1731,14,0.2692
1265,habeo,49,4,0.0816,1,0.0204,3,0.0612,0,0,23,0.469387755102041,5,0.102,13,0.2653
2455,sedeo1,47,2,0.0426,0,0,0,0,0,0,18,0.382978723404255,7,0.1489,20,0.4255
2648,teneo1,46,2,0.0435,0,0,5,0.1087,1,0.0217,16,0.347826086956522,8,0.1739,14,0.3043
654,credo1,44,6,0.1364,1,0.0227,7,0.1591,6,0.1364,9,0.204545454545455,6,0.1364,9,0.2045
1251,gero1,44,4,0.0909,2,0.0455,2,0.0455,0,0,17,0.386363636363636,3,0.0682,16,0.3636
2801,vivo1,44,1,0.0227,4,0.0909,6,0.1364,0,0,10,0.227272727272727,3,0.0682,20,0.4545
339,capio1,42,1,0.0238,0,0,1,0.0238,1,0.0238,12,0.285714285714286,7,0.1667,20,0.4762
2781,video,42,4,0.0952,1,0.0238,3,0.0714,0,0,19,0.452380952380952,2,0.0476,13,0.3095
2443,scribo1,41,1,0.0244,0,0,12,0.2927,0,0,2,0.048780487804878,2,0.0488,24,0.5854
209,aperio1,40,2,0.05,0,0,0,0,1,0.025,19,0.475,1,0.025,17,0.425
141,affero1,39,2,0.0513,0,0,1,0.0256,0,0,8,0.205128205128205,5,0.1282,23,0.5897
2789,vinco1,38,1,0.0263,4,0.1053,0,0,0,0,15,0.394736842105263,3,0.0789,15,0.3947
163,ago,37,4,0.1081,0,0,6,0.1622,0,0,9,0.243243243243243,3,0.0811,14,0.3784
2402,rogo1,36,12,0.3333,4,0.1111,2,0.0556,0,0,6,0.166666666666667,1,0.0278,11,0.3056
2535,sto1,36,2,0.0556,0,0,1,0.0278,0,0,10,0.277777777777778,8,0.2222,15,0.4167
1907,paro1,35,1,0.0286,0,0,0,0,0,0,13,0.371428571428571,3,0.0857,18,0.5143
1177,fero,34,3,0.0882,0,0,1,0.0294,0,0,13,0.382352941176471,4,0.1176,13,0.3824
1626,loquor,34,3,0.0882,2,0.0588,0,0,0,0,8,0.235294117647059,5,0.1471,16,0.4706
2020,peto,34,3,0.0882,0,0,1,0.0294,0,0,9,0.264705882352941,7,0.2059,14,0.4118
2662,timeo1,34,8,0.2353,0,0,3,0.0882,3,0.0882,7,0.205882352941176,3,0.0882,10,0.2941
2669,tollo1,34,5,0.1471,0,0,0,0,0,0,11,0.323529411764706,6,0.1765,12,0.3529
1527,invenio1,33,5,0.1515,2,0.0606,3,0.0909,0,0,8,0.242424242424242,4,0.1212,11,0.3333
1833,occido1,33,0,0,0,0,1,0.0303,0,0,5,0.151515151515152,4,0.1212,23,0.697
2805,voco1,33,0,0,0,0,3,0.0909,0,0,16,0.484848484848485,4,0.1212,10,0.303
320,cado1,32,3,0.0938,0,0,1,0.0312,1,0.0312,10,0.3125,15,0.4688,2,0.0625
922,duco1,32,2,0.0625,0,0,3,0.0938,0,0,11,0.34375,2,0.0625,14,0.4375
1603,lego2,32,2,0.0625,0,0,4,0.125,0,0,9,0.28125,2,0.0625,15,0.4688
2233,quaero1,32,2,0.0625,2,0.0625,6,0.1875,1,0.0312,8,0.25,3,0.0938,10,0.3125
1059,exeo1,31,0,0,2,0.0645,3,0.0968,0,0,14,0.451612903225806,7,0.2258,5,0.1613
1921,patior,31,4,0.129,2,0.0645,3,0.0968,0,0,3,0.096774193548387,3,0.0968,16,0.5161
2472,sequor1,31,1,0.0323,2,0.0645,0,0,0,0,10,0.32258064516129,4,0.129,14,0.4516
1627,loquor1,30,2,0.0667,1,0.0333,2,0.0667,0,0,8,0.266666666666667,0,0,17,0.5667
2496,soleo1,30,4,0.1333,0,0,6,0.2,0,0,10,0.333333333333333,4,0.1333,6,0.2
1732,muto1,29,1,0.0345,0,0,2,0.069,1,0.0345,7,0.241379310344828,3,0.1034,15,0.5172
2021,peto1,29,2,0.069,2,0.069,5,0.1724,0,0,11,0.379310344827586,4,0.1379,5,0.1724
2291,refero1,29,1,0.0345,1,0.0345,7,0.2414,0,0,11,0.379310344827586,0,0,9,0.3103
1232,fugio1,28,1,0.0357,1,0.0357,4,0.1429,0,0,15,0.535714285714286,3,0.1071,4,0.1429
166,aio1,27,0,0,0,0,0,0,0,0,21,0.777777777777778,6,0.2222,0,0
408,cognosco1,27,3,0.1111,0,0,3,0.1111,0,0,5,0.185185185185185,5,0.1852,11,0.4074
1510,intro2,27,2,0.0741,2,0.0741,0,0,0,0,10,0.37037037037037,6,0.2222,7,0.2593
1722,moveo1,27,1,0.037,1,0.037,0,0,0,0,7,0.259259259259259,2,0.0741,16,0.5926
2313,relinquo1,27,0,0,1,0.037,2,0.0741,1,0.037,8,0.296296296296296,5,0.1852,10,0.3704
106,adoro1,26,3,0.1154,0,0,2,0.0769,1,0.0385,1,0.038461538461539,17,0.6538,2,0.0769
190,amo1,26,2,0.0769,0,0,1,0.0385,0,0,10,0.384615384615385,0,0,13,0.5
1759,nescio1,26,13,0.5,0,0,5,0.1923,1,0.0385,7,0.269230769230769,0,0,0,0
1773,nosco1,26,4,0.1538,1,0.0385,2,0.0769,2,0.0769,6,0.230769230769231,1,0.0385,10,0.3846
1908,paro2,26,1,0.0385,0,0,0,0,0,0,3,0.115384615384615,4,0.1538,18,0.6923
46,accipio,25,3,0.12,1,0.04,2,0.08,1,0.04,7,0.28,4,0.16,7,0.28
2465,sentio1,25,2,0.08,0,0,5,0.2,0,0,9,0.36,5,0.2,4,0.16
351,cedo1,24,2,0.0833,1,0.0417,2,0.0833,0,0,2,0.083333333333333,6,0.25,11,0.4583
1558,jubeo,24,2,0.0833,0,0,0,0,0,0,14,0.583333333333333,1,0.0417,7,0.2917
1739,nascor,24,2,0.0833,0,0,0,0,0,0,1,0.041666666666667,0,0,21,0.875
1864,oportet1,23,0,0,0,0,0,0,0,0,23,1,0,0,0,0
2222,pugno1,23,1,0.0435,0,0,0,0,0,0,5,0.217391304347826,3,0.1304,14,0.6087
2478,servo1,23,2,0.087,0,0,6,0.2609,0,0,7,0.304347826086957,4,0.1739,4,0.1739
2754,venio,23,1,0.0435,0,0,2,0.087,0,0,12,0.521739130434783,3,0.1304,5,0.2174
686,debeo1,22,3,0.1364,1,0.0455,3,0.1364,0,0,10,0.454545454545455,0,0,5,0.2273
1646,malo1,22,10,0.4545,0,0,1,0.0455,0,0,6,0.272727272727273,5,0.2273,0,0
2741,valeo1,22,0,0,0,0,4,0.1818,0,0,12,0.545454545454545,5,0.2273,1,0.0455
399,coepio,21,1,0.0476,1,0.0476,0,0,0,0,13,0.619047619047619,4,0.1905,2,0.0952
952,effundo1,21,0,0,0,0,0,0,2,0.0952,9,0.428571428571429,1,0.0476,9,0.4286
980,emo1,21,8,0.381,0,0,1,0.0476,0,0,3,0.142857142857143,3,0.1429,6,0.2857
1201,fleo1,21,1,0.0476,0,0,2,0.0952,0,0,4,0.19047619047619,4,0.1905,10,0.4762
1906,pario2,21,0,0,0,0,0,0,0,0,11,0.523809523809524,2,0.0952,8,0.381
2029,placeo1,21,1,0.0476,1,0.0476,1,0.0476,0,0,11,0.523809523809524,3,0.1429,4,0.1905
6,abeo1,20,1,0.05,0,0,0,0,1,0.05,12,0.6,2,0.1,4,0.2
384,clamo1,20,1,0.05,1,0.05,1,0.05,0,0,10,0.5,5,0.25,2,0.1
386,claudo1,20,0,0,0,0,0,0,0,0,6,0.3,3,0.15,11,0.55
1268,habito1,20,0,0,1,0.05,1,0.05,1,0.05,5,0.25,4,0.2,8,0.4
1703,mitto,20,1,0.05,0,0,0,0,0,0,6,0.3,4,0.2,9,0.45
2244,rapio1,20,0,0,0,0,0,0,0,0,8,0.4,2,0.1,10,0.5
333,cano1,19,0,0,0,0,2,0.1053,0,0,10,0.526315789473684,2,0.1053,5,0.2632
359,cerno1,19,1,0.0526,0,0,3,0.1579,0,0,10,0.526315789473684,3,0.1579,2,0.1053
675,curo1,19,9,0.4737,0,0,0,0,0,0,4,0.210526315789474,1,0.0526,5,0.2632
906,doceo1,19,1,0.0526,0,0,1,0.0526,0,0,9,0.473684210526316,0,0,8,0.4211
1476,intellego1,19,7,0.3684,0,0,3,0.1579,2,0.1053,3,0.157894736842105,1,0.0526,3,0.1579
1615,licet1,19,0,0,0,0,0,0,0,0,19,1,0,0,0,0
1693,miror1,19,1,0.0526,2,0.1053,1,0.0526,0,0,1,0.052631578947368,2,0.1053,12,0.6316
1740,nascor1,19,0,0,0,0,0,0,0,0,4,0.210526315789474,6,0.3158,9,0.4737
1769,nolo1,19,4,0.2105,0,0,5,0.2632,2,0.1053,4,0.210526315789474,2,0.1053,2,0.1053
1922,patior1,19,1,0.0526,0,0,1,0.0526,1,0.0526,2,0.105263157894737,0,0,14,0.7368
1958,pereo1,19,0,0,1,0.0526,1,0.0526,0,0,5,0.263157894736842,5,0.2632,7,0.3684
67,adeo1,18,1,0.0556,0,0,0,0,0,0,8,0.444444444444444,3,0.1667,6,0.3333
160,agito1,18,1,0.0556,1,0.0556,0,0,0,0,3,0.166666666666667,3,0.1667,10,0.5556
653,credo,18,2,0.1111,1,0.0556,1,0.0556,0,0,2,0.111111111111111,2,0.1111,10,0.5556
1074,existimo1,18,2,0.1111,0,0,1,0.0556,0,0,1,0.055555555555556,7,0.3889,7,0.3889
1550,jaceo1,18,0,0,0,0,3,0.1667,0,0,8,0.444444444444444,3,0.1667,4,0.2222
1951,perdo1,18,0,0,1,0.0556,1,0.0556,0,0,5,0.277777777777778,1,0.0556,10,0.5556
2239,queror,18,4,0.2222,1,0.0556,1,0.0556,0,0,1,0.055555555555556,1,0.0556,10,0.5556
233,ardeo1,17,0,0,0,0,0,0,0,0,1,0.058823529411765,2,0.1176,14,0.8235
358,censeo1,17,4,0.2353,0,0,0,0,0,0,7,0.411764705882353,1,0.0588,5,0.2941
619,contineo,17,0,0,0,0,0,0,0,0,6,0.352941176470588,2,0.1176,9,0.5294
685,debeo,17,0,0,0,0,1,0.0588,0,0,6,0.352941176470588,3,0.1765,7,0.4118
691,decerno1,17,2,0.1176,0,0,0,0,1,0.0588,6,0.352941176470588,3,0.1765,5,0.2941
709,dedo1,17,0,0,0,0,0,0,0,0,13,0.764705882352941,2,0.1176,2,0.1176
790,desero2,17,1,0.0588,0,0,1,0.0588,0,0,3,0.176470588235294,1,0.0588,11,0.6471
933,edo2,17,1,0.0588,0,0,1,0.0588,0,0,10,0.588235294117647,1,0.0588,4,0.2353
1487,interficio,17,0,0,0,0,0,0,0,0,2,0.117647058823529,1,0.0588,14,0.8235
1488,interficio1,17,1,0.0588,0,0,1,0.0588,0,0,2,0.117647058823529,2,0.1176,11,0.6471
1562,judico1,17,2,0.1176,0,0,3,0.1765,0,0,8,0.470588235294118,0,0,4,0.2353
2046,pono,17,1,0.0588,0,0,1,0.0588,0,0,4,0.235294117647059,1,0.0588,10,0.5882
2130,privo,17,0,0,0,0,0,0,0,0,1,0.058823529411765,0,0,16,0.9412
2254,recipio,17,6,0.3529,0,0,0,0,0,0,6,0.352941176470588,0,0,4,0.2353
2372,respondeo,17,0,0,0,0,0,0,0,0,11,0.647058823529412,1,0.0588,5,0.2941
2641,tego1,17,0,0,0,0,0,0,0,0,12,0.705882352941177,2,0.1176,3,0.1765
2712,tueor,17,0,0,0,0,1,0.0588,0,0,0,0,2,0.1176,14,0.8235
245,ascendo1,16,0,0,0,0,2,0.125,1,0.0625,5,0.3125,2,0.125,6,0.375
621,contingo1,16,0,0,0,0,0,0,0,0,10,0.625,1,0.0625,5,0.3125
1000,eripio1,16,1,0.0625,0,0,2,0.125,0,0,2,0.125,3,0.1875,8,0.5
1598,laudo1,16,1,0.0625,3,0.1875,0,0,0,0,5,0.3125,3,0.1875,4,0.25
1650,maneo1,16,0,0,1,0.0625,2,0.125,0,0,6,0.375,5,0.3125,2,0.125
1881,oro1,16,5,0.3125,0,0,1,0.0625,0,0,4,0.25,0,0,6,0.375
1884,ostendo1,16,6,0.375,0,0,0,0,0,0,8,0.5,1,0.0625,1,0.0625
1957,pereo,16,2,0.125,0,0,0,0,0,0,4,0.25,5,0.3125,5,0.3125
2107,praesto2,16,3,0.1875,0,0,1,0.0625,0,0,6,0.375,2,0.125,4,0.25
2232,quaero,16,4,0.25,0,0,0,0,0,0,9,0.5625,1,0.0625,2,0.125
2275,reddo1,16,1,0.0625,0,0,1,0.0625,1,0.0625,4,0.25,0,0,9,0.5625
2396,rideo1,16,0,0,1,0.0625,3,0.1875,0,0,7,0.4375,3,0.1875,2,0.125
2495,soleo,16,0,0,0,0,1,0.0625,0,0,7,0.4375,3,0.1875,5,0.3125
2647,teneo,16,1,0.0625,0,0,0,0,0,0,8,0.5,2,0.125,5,0.3125
2650,tento1,16,1,0.0625,1,0.0625,1,0.0625,1,0.0625,3,0.1875,0,0,9,0.5625
2732,utor1,16,0,0,1,0.0625,0,0,1,0.0625,1,0.0625,1,0.0625,12,0.75
216,appello1,15,1,0.0667,0,0,0,0,0,0,9,0.6,1,0.0667,4,0.2667
410,cogo1,15,5,0.3333,1,0.0667,2,0.1333,0,0,3,0.2,0,0,4,0.2667
660,cresco1,15,2,0.1333,0,0,0,0,0,0,8,0.533333333333333,2,0.1333,3,0.2
1572,labor1,15,0,0,0,0,0,0,0,0,0,0,1,0.0667,14,0.9333
1664,memini1,15,2,0.1333,2,0.1333,2,0.1333,2,0.1333,3,0.2,2,0.1333,2,0.1333
1718,morior1,15,2,0.1333,0,0,0,0,0,0,1,0.066666666666667,1,0.0667,11,0.7333
1753,nego1,15,1,0.0667,0,0,4,0.2667,1,0.0667,5,0.333333333333333,0,0,4,0.2667
1772,nosco,15,1,0.0667,0,0,0,0,0,0,3,0.2,1,0.0667,10,0.6667
2136,procedo1,15,0,0,0,0,0,0,0,0,9,0.6,4,0.2667,2,0.1333
2438,scio,15,8,0.5333,0,0,1,0.0667,0,0,3,0.2,2,0.1333,1,0.0667
2442,scribo,15,4,0.2667,0,0,0,0,0,0,6,0.4,2,0.1333,3,0.2
2464,sentio,15,0,0,0,0,1,0.0667,0,0,12,0.8,0,0,2,0.1333
2489,sino1,15,1,0.0667,1,0.0667,2,0.1333,0,0,6,0.4,1,0.0667,4,0.2667
2501,solvo1,15,2,0.1333,0,0,2,0.1333,1,0.0667,4,0.266666666666667,0,0,6,0.4
2600,sumo1,15,0,0,0,0,0,0,0,0,2,0.133333333333333,3,0.2,10,0.6667
2635,taceo1,15,2,0.1333,0,0,5,0.3333,0,0,1,0.066666666666667,3,0.2,4,0.2667
2684,traho1,15,1,0.0667,0,0,0,0,0,0,5,0.333333333333333,5,0.3333,4,0.2667
39,accedo1,14,1,0.0714,1,0.0714,1,0.0714,0,0,5,0.357142857142857,2,0.1429,4,0.2857
65,adduco1,14,2,0.1429,0,0,0,0,0,0,2,0.142857142857143,0,0,10,0.7143
215,appello,14,0,0,0,0,0,0,0,0,5,0.357142857142857,1,0.0714,8,0.5714
334,canto1,14,0,0,0,0,0,0,0,0,5,0.357142857142857,4,0.2857,5,0.3571
568,conscribo1,14,0,0,0,0,0,0,0,0,2,0.142857142857143,0,0,12,0.8571
620,contineo1,14,1,0.0714,1,0.0714,1,0.0714,0,0,1,0.071428571428571,1,0.0714,9,0.6429
673,cupio1,14,3,0.2143,0,0,3,0.2143,0,0,3,0.214285714285714,0,0,5,0.3571
690,decerno,14,0,0,0,0,1,0.0714,0,0,5,0.357142857142857,1,0.0714,7,0.5
710,deduco,14,3,0.2143,0,0,0,0,0,0,3,0.214285714285714,2,0.1429,6,0.4286
862,disco1,14,3,0.2143,1,0.0714,2,0.1429,0,0,4,0.285714285714286,2,0.1429,2,0.1429
1164,fallo,14,1,0.0714,0,0,1,0.0714,0,0,2,0.142857142857143,0,0,10,0.7143
1868,opprimo,14,0,0,0,0,0,0,0,0,1,0.071428571428571,1,0.0714,12,0.8571
1883,ostendo,14,1,0.0714,1,0.0714,0,0,0,0,7,0.5,0,0,5,0.3571
1901,parco1,14,1,0.0714,0,0,2,0.1429,2,0.1429,3,0.214285714285714,2,0.1429,4,0.2857
1950,perdo,14,0,0,0,0,0,0,0,0,0,0,2,0.1429,12,0.8571
2243,rapio,14,0,0,0,0,1,0.0714,0,0,5,0.357142857142857,1,0.0714,7,0.5
2516,spero1,14,5,0.3571,0,0,0,0,0,0,4,0.285714285714286,2,0.1429,3,0.2143
165,aio,13,0,0,0,0,0,0,0,0,13,1,0,0,0,0
189,amo,13,0,0,0,0,0,0,0,0,0,0,3,0.2308,10,0.7692
316,bibo1,13,0,0,1,0.0769,1,0.0769,0,0,3,0.230769230769231,3,0.2308,5,0.3846
593,constituo,13,0,0,0,0,0,0,0,0,3,0.230769230769231,0,0,10,0.7692
635,converto1,13,0,0,0,0,1,0.0769,1,0.0769,5,0.384615384615385,0,0,6,0.4615
1061,exerceo1,13,0,0,0,0,0,0,0,0,8,0.615384615384615,3,0.2308,2,0.1538
1127,exspecto1,13,1,0.0769,0,0,4,0.3077,0,0,0,0,5,0.3846,3,0.2308
1738,narro1,13,2,0.1538,0,0,5,0.3846,1,0.0769,1,0.076923076923077,0,0,4,0.3077
1934,pendo1,13,0,0,0,0,0,0,1,0.0769,3,0.230769230769231,3,0.2308,6,0.4615
2157,proficiscor,13,0,0,0,0,4,0.3077,0,0,1,0.076923076923077,1,0.0769,7,0.5385
2274,reddo,13,0,0,0,0,4,0.3077,0,0,3,0.230769230769231,2,0.1538,4,0.3077
2509,specto,13,0,0,0,0,0,0,0,0,3,0.230769230769231,0,0,10,0.7692
2534,sto,13,0,0,0,0,0,0,0,0,4,0.307692307692308,2,0.1538,7,0.5385
2553,subeo1,13,0,0,0,0,1,0.0769,0,0,3,0.230769230769231,2,0.1538,7,0.5385
2761,vereor,13,5,0.3846,0,0,1,0.0769,0,0,0,0,3,0.2308,4,0.3077
407,cognosco,12,1,0.0833,0,0,1,0.0833,0,0,2,0.166666666666667,0,0,8,0.6667
539,conicio1,12,1,0.0833,2,0.1667,1,0.0833,0,0,4,0.333333333333333,1,0.0833,3,0.25
601,consulo1,12,0,0,0,0,2,0.1667,2,0.1667,0,0,1,0.0833,7,0.5833
677,curro1,12,0,0,0,0,3,0.25,0,0,4,0.333333333333333,2,0.1667,3,0.25
711,deduco1,12,2,0.1667,0,0,0,0,1,0.0833,4,0.333333333333333,1,0.0833,4,0.3333
787,descendo1,12,0,0,1,0.0833,0,0,0,0,5,0.416666666666667,0,0,6,0.5
806,destino,12,0,0,0,0,0,0,0,0,3,0.25,4,0.3333,5,0.4167
812,desum,12,0,0,0,0,0,0,0,0,5,0.416666666666667,6,0.5,1,0.0833
856,discedo1,12,0,0,0,0,1,0.0833,1,0.0833,7,0.583333333333333,2,0.1667,1,0.0833
914,dono,12,0,0,0,0,0,0,0,0,6,0.5,0,0,6,0.5
1001,erro1,12,0,0,0,0,2,0.1667,0,0,2,0.166666666666667,3,0.25,5,0.4167
1165,fallo1,12,2,0.1667,0,0,0,0,0,0,5,0.416666666666667,1,0.0833,4,0.3333
1526,invenio,12,2,0.1667,0,0,0,0,0,0,6,0.5,0,0,4,0.3333
1567,juro1,12,2,0.1667,1,0.0833,1,0.0833,0,0,2,0.166666666666667,0,0,6,0.5
1600,lavo1,12,1,0.0833,0,0,0,0,0,0,3,0.25,4,0.3333,4,0.3333
1768,nolo,12,2,0.1667,0,0,6,0.5,1,0.0833,1,0.083333333333333,2,0.1667,0,0
1949,percutio1,12,0,0,0,0,0,0,0,0,7,0.583333333333333,0,0,5,0.4167
2055,posco1,12,2,0.1667,0,0,0,0,0,0,9,0.75,0,0,1,0.0833
2096,praemitto,12,0,0,0,0,0,0,0,0,1,0.083333333333333,0,0,11,0.9167
2128,premo1,12,1,0.0833,0,0,0,0,0,0,7,0.583333333333333,1,0.0833,3,0.25
2277,redeo,12,2,0.1667,0,0,1,0.0833,0,0,5,0.416666666666667,2,0.1667,2,0.1667
2371,respicio1,12,1,0.0833,0,0,1,0.0833,0,0,3,0.25,0,0,7,0.5833
2373,respondeo1,12,1,0.0833,0,0,1,0.0833,0,0,7,0.583333333333333,2,0.1667,1,0.0833
2476,servio1,12,2,0.1667,0,0,1,0.0833,1,0.0833,2,0.166666666666667,2,0.1667,4,0.3333
2510,specto1,12,1,0.0833,1,0.0833,1,0.0833,0,0,5,0.416666666666667,1,0.0833,3,0.25
2668,tollo,12,2,0.1667,0,0,1,0.0833,0,0,5,0.416666666666667,1,0.0833,2,0.1667
2679,trado,12,4,0.3333,0,0,0,0,0,0,3,0.25,2,0.1667,3,0.25
2808,volo2,12,0,0,0,0,0,0,0,0,2,0.166666666666667,2,0.1667,8,0.6667
30,absum,11,0,0,0,0,1,0.0909,0,0,6,0.545454545454545,1,0.0909,3,0.2727
357,ceno1,11,2,0.1818,2,0.1818,1,0.0909,0,0,1,0.090909090909091,1,0.0909,4,0.3636
373,circumfero1,11,0,0,0,0,0,0,0,0,5,0.454545454545455,0,0,6,0.5455
405,cogito1,11,0,0,0,0,4,0.3636,0,0,2,0.181818181818182,3,0.2727,2,0.1818
409,cogo,11,3,0.2727,0,0,0,0,0,0,6,0.545454545454545,1,0.0909,1,0.0909
423,colo1,11,0,0,0,0,0,0,0,0,4,0.363636363636364,1,0.0909,6,0.5455
508,confero,11,0,0,0,0,0,0,0,0,4,0.363636363636364,1,0.0909,6,0.5455
633,convenio1,11,0,0,0,0,0,0,0,0,2,0.181818181818182,5,0.4545,4,0.3636
848,dimitto1,11,0,0,0,0,0,0,2,0.1818,5,0.454545454545455,1,0.0909,3,0.2727
1192,fio,11,1,0.0909,0,0,1,0.0909,0,0,4,0.363636363636364,1,0.0909,4,0.3636
1330,impono1,11,0,0,0,0,0,0,0,0,7,0.636363636363636,0,0,4,0.3636
1541,irascor1,11,0,0,0,0,0,0,0,0,1,0.090909090909091,0,0,10,0.9091
1580,laedo1,11,1,0.0909,0,0,1,0.0909,0,0,3,0.272727272727273,1,0.0909,5,0.4545
1597,laudo,11,1,0.0909,0,0,2,0.1818,0,0,2,0.181818181818182,0,0,6,0.5455
1666,memoro1,11,6,0.5455,0,0,1,0.0909,0,0,0,0,1,0.0909,3,0.2727
1695,misceo1,11,0,0,0,0,0,0,1,0.0909,2,0.181818181818182,0,0,8,0.7273
1721,moveo,11,1,0.0909,0,0,0,0,0,0,2,0.181818181818182,5,0.4545,3,0.2727
1776,noto1,11,4,0.3636,2,0.1818,0,0,0,0,3,0.272727272727273,2,0.1818,0,0
1872,opto1,11,1,0.0909,1,0.0909,2,0.1818,1,0.0909,0,0,1,0.0909,5,0.4545
1920,pateo1,11,0,0,0,0,0,0,0,0,4,0.363636363636364,5,0.4545,2,0.1818
2016,pervenio1,11,4,0.3636,1,0.0909,0,0,0,0,4,0.363636363636364,1,0.0909,1,0.0909
2028,placeo,11,0,0,0,0,0,0,0,0,10,0.909090909090909,0,0,1,0.0909
2312,relinquo,11,0,0,0,0,0,0,0,0,6,0.545454545454545,0,0,5,0.4545
2471,sequor,11,0,0,0,0,1,0.0909,0,0,4,0.363636363636364,0,0,6,0.5455
2507,spargo1,11,0,0,0,0,0,0,0,0,2,0.181818181818182,2,0.1818,7,0.6364
2637,tango1,11,3,0.2727,0,0,1,0.0909,0,0,3,0.272727272727273,2,0.1818,2,0.1818
2680,trado1,11,1,0.0909,0,0,1,0.0909,0,0,2,0.181818181818182,3,0.2727,4,0.3636
2703,tribuo,11,0,0,0,0,0,0,1,0.0909,6,0.545454545454545,0,0,3,0.2727
2785,vigilo1,11,0,0,0,0,1,0.0909,0,0,3,0.272727272727273,0,0,7,0.6364
2788,vinco,11,3,0.2727,0,0,3,0.2727,0,0,1,0.090909090909091,0,0,4,0.3636
31,absum1,10,0,0,0,0,0,0,0,0,4,0.4,1,0.1,5,0.5
41,accendo2,10,0,0,0,0,0,0,0,0,5,0.5,1,0.1,4,0.4
88,administro,10,1,0.1,0,0,0,0,0,0,4,0.4,0,0,5,0.5
126,adverto,10,0,0,0,0,0,0,0,0,1,0.1,0,0,9,0.9
188,amitto1,10,0,0,1,0.1,0,0,1,0.1,2,0.2,0,0,6,0.6
293,audeo1,10,1,0.1,0,0,1,0.1,0,0,1,0.1,1,0.1,6,0.6
349,caveo1,10,0,0,0,0,6,0.6,1,0.1,1,0.1,0,0,2,0.2
360,certo2,10,0,0,1,0.1,0,0,0,0,2,0.2,5,0.5,2,0.2
551,conor,10,1,0.1,0,0,1,0.1,0,0,0,0,0,0,8,0.8
596,consto1,10,0,0,0,0,0,0,0,0,10,1,0,0,0,0
613,contendo1,10,0,0,0,0,2,0.2,0,0,3,0.3,3,0.3,2,0.2
714,defendo1,10,1,0.1,0,0,2,0.2,0,0,2,0.2,2,0.2,3,0.3
