"","lemma","tag","Total"
"67","lemma=absum1"," postag=v3piia---",1
"68","lemma=absum1"," postag=v3sfia---",1
"69","lemma=absum1"," postag=v3siia---",2
"70","lemma=absum1"," postag=v3spia---",1
"71","lemma=absumo"," postag=v-prppfa-",1
"72","lemma=absumo1"," postag=v-prppfb-",1
"73","lemma=absumo1"," postag=v3spip---",1
"74","lemma=abundo"," postag=v-spp-nb-",1
"75","lemma=abundo"," postag=v3spsa---",1
"76","lemma=abundo1"," postag=v-sppanb-",1
"77","lemma=abutor"," postag=v2sfid---",1
"78","lemma=abutor1"," postag=v--pnp---",1
"79","lemma=accedo"," postag=v1sria---",1
"80","lemma=accedo"," postag=v3spia---",1
"81","lemma=accedo"," postag=v3sria---",2
"82","lemma=accedo"," postag=v3srsa---",1
"83","lemma=accedo1"," postag=v--pna---",3
"84","lemma=accedo1"," postag=v-sfpama-",1
"85","lemma=accedo1"," postag=v1pria---",1
"86","lemma=accedo1"," postag=v1sria---",1
"87","lemma=accedo1"," postag=v2spma---",1
"88","lemma=accedo1"," postag=v3pria---",2
"89","lemma=accedo1"," postag=v3slia---",1
"90","lemma=accedo1"," postag=v3slsa---",1
"91","lemma=accedo1"," postag=v3sria---",3
"92","lemma=accelero1"," postag=v--pna---",1
"93","lemma=accendo2"," postag=v--pna---",1
"94","lemma=accendo2"," postag=v-prppfn-",1
"95","lemma=accendo2"," postag=v-srppfn-",2
"96","lemma=accendo2"," postag=v3piip---",1
"97","lemma=accendo2"," postag=v3sfia---",1
"98","lemma=accendo2"," postag=v3siia---",1
"99","lemma=accendo2"," postag=v3sisa---",1
"100","lemma=accendo2"," postag=v3spip---",1
"101","lemma=accendo2"," postag=v3sria---",1
"102","lemma=accido1"," postag=v--pna---",1
"103","lemma=accido1"," postag=v3pisa---",1
"104","lemma=accido1"," postag=v3sfia---",1
"105","lemma=accido1"," postag=v3spsa---",1
"106","lemma=accido2"," postag=v--pna---",1
"107","lemma=accido2"," postag=v3srsa---",1
"108","lemma=accingo1"," postag=v3spip---",1
"109","lemma=accio"," postag=v-prppma-",1
"110","lemma=accio"," postag=v-prppmb-",1
"111","lemma=accio"," postag=v-prppmg-",1
"112","lemma=accipio"," postag=v--pna---",2
"113","lemma=accipio"," postag=v-p-g-na-",1
"114","lemma=accipio"," postag=v-pfpama-",1
"115","lemma=accipio"," postag=v-spp-fn-",2
"116","lemma=accipio"," postag=v-srppfn-",1
"117","lemma=accipio"," postag=v1pria---",1
"118","lemma=accipio"," postag=v1sria---",3
"119","lemma=accipio"," postag=v2ppma---",1
"120","lemma=accipio"," postag=v2sfia---",1
"121","lemma=accipio"," postag=v2spsa---",1
"122","lemma=accipio"," postag=v3piia---",1
"123","lemma=accipio"," postag=v3ppip---",1
"124","lemma=accipio"," postag=v3pria---",2
"125","lemma=accipio"," postag=v3siia---",1
"126","lemma=accipio"," postag=v3sisa---",1
"127","lemma=accipio"," postag=v3sisp---",1
"128","lemma=accipio"," postag=v3slsa---",1
"129","lemma=accipio"," postag=v3sria---",3
"130","lemma=accipio1"," postag=v--pna---",6
"131","lemma=accipio1"," postag=v-pfpama-",1
"132","lemma=accipio1"," postag=v-ppgpnb-",1
"133","lemma=accipio1"," postag=v-srppfb-",3
"134","lemma=accipio1"," postag=v-srppmn-",1
"135","lemma=accipio1"," postag=v-srppng-",1
"136","lemma=accipio1"," postag=v1ppia---",1
"137","lemma=accipio1"," postag=v1sfia---",1
"138","lemma=accipio1"," postag=v1spsa---",1
"139","lemma=accipio1"," postag=v1sria---",5
"140","lemma=accipio1"," postag=v2ppsa---",1
"141","lemma=accipio1"," postag=v2spma---",4
"142","lemma=accipio1"," postag=v2sria---",1
"143","lemma=accipio1"," postag=v2srsa---",1
"144","lemma=accipio1"," postag=v3pisa---",1
"145","lemma=accipio1"," postag=v3plia---",1
"146","lemma=accipio1"," postag=v3ppia---",1
"147","lemma=accipio1"," postag=v3pria---",4
"148","lemma=accipio1"," postag=v3sfia---",2
"149","lemma=accipio1"," postag=v3siia---",1
"150","lemma=accipio1"," postag=v3slia---",2
"151","lemma=accipio1"," postag=v3slsa---",1
"152","lemma=accipio1"," postag=v3spia---",4
"153","lemma=accipio1"," postag=v3spsa---",3
"154","lemma=accipio1"," postag=v3sria---",7
"155","lemma=accipio1"," postag=v3srsa---",3
"156","lemma=accommodo"," postag=v3spia---",1
"157","lemma=accommodo"," postag=v3sria---",1
"158","lemma=accubo"," postag=v-ppp-mn-",1
"159","lemma=accumbo1"," postag=v3siia---",1
"160","lemma=accumbo1"," postag=v3sria---",1
"161","lemma=accurro1"," postag=v3spia---",1
"162","lemma=accuso1"," postag=v--pna---",1
"163","lemma=accuso1"," postag=v3siia---",1
"164","lemma=accuso1"," postag=v3spsa---",1
"165","lemma=acquiro"," postag=v--pnp---",1
"166","lemma=acquiro"," postag=v3sria---",1
"167","lemma=acuo"," postag=v3spsa---",1
"168","lemma=ad-lego2"," postag=v3sria---",1
"169","lemma=ad-signo"," postag=v1sria---",2
"170","lemma=adaequo"," postag=v3sria---",1
"171","lemma=adcedo"," postag=v--pna---",1
"172","lemma=adcedo"," postag=v3siia---",1
"173","lemma=adcognosco"," postag=v1spia---",1
"174","lemma=addico"," postag=v3sria---",1
"175","lemma=addico1"," postag=v--pna---",1
"176","lemma=addo"," postag=v3siia---",1
"177","lemma=addo"," postag=v3slia---",1
"178","lemma=addo"," postag=v3spia---",1
"179","lemma=addo"," postag=v3sria---",3
"180","lemma=addo1"," postag=v--pna---",1
"181","lemma=addo1"," postag=v-prppnb-",1
"182","lemma=addo1"," postag=v-srppfn-",1
"183","lemma=addo1"," postag=v2sria---",1
"184","lemma=addo1"," postag=v3sisa---",1
"185","lemma=addo1"," postag=v3slia---",2
"186","lemma=adduco"," postag=v-prppmn-",1
"187","lemma=adduco1"," postag=v--pnp---",4
"188","lemma=adduco1"," postag=v-prppfa-",1
"189","lemma=adduco1"," postag=v-prppmn-",2
"190","lemma=adduco1"," postag=v-srppmb-",1
"191","lemma=adduco1"," postag=v-srppmn-",2
"192","lemma=adduco1"," postag=v1sfia---",1
"193","lemma=adduco1"," postag=v1spip---",1
"194","lemma=adduco1"," postag=v3sisp---",1
"195","lemma=adduco1"," postag=v3slia---",1
"196","lemma=adedo"," postag=v-prppnb_",1
"197","lemma=adeo1"," postag=v--pna---",3
"198","lemma=adeo1"," postag=v-pppa-d-",1
"199","lemma=adeo1"," postag=v-pppamg_",1
"200","lemma=adeo1"," postag=v___sp---",1
"201","lemma=adeo1"," postag=v1sisa---",1
"202","lemma=adeo1"," postag=v3plsa---",1
"203","lemma=adeo1"," postag=v3ppia---",1
"204","lemma=adeo1"," postag=v3ppsa---",1
"205","lemma=adeo1"," postag=v3sisp---",1
"206","lemma=adeo1"," postag=v3sria---",6
"207","lemma=adeo1"," postag=v3srsa---",1
"208","lemma=adhaereo1"," postag=v3sria---",1
"209","lemma=adhibeo"," postag=v-srppmb-",1
"210","lemma=adhibeo1"," postag=v--pna---",1
"211","lemma=adhibeo1"," postag=v2ppma---",1
"212","lemma=adicio"," postag=v3sria---",1
"213","lemma=adicio1"," postag=v--pna---",2
"214","lemma=adicio1"," postag=v3ppia---",1
"215","lemma=adigo"," postag=v3sria---",1
"216","lemma=adigo1"," postag=v3sisa---",1
"217","lemma=adimo"," postag=v-prppmb-",1
"218","lemma=adimo"," postag=v-srppfb-",1
"219","lemma=adimo"," postag=v3plia---",1
"220","lemma=adimo"," postag=v3slia---",1
"221","lemma=adimo"," postag=v3sria---",1
"222","lemma=adimo1"," postag=v--pna---",1
"223","lemma=adipiscor"," postag=v-prpdmn_",2
"224","lemma=adipiscor"," postag=v-sfpdma_",1
"225","lemma=adipiscor"," postag=v-srpdmn_",2
"226","lemma=adipiscor"," postag=v-srppmn-",1
"227","lemma=adipiscor"," postag=v3sisd---",1
"228","lemma=adipiscor1"," postag=v-prpdmn-",2
"229","lemma=adipiscor1"," postag=v-srppfb-",1
"230","lemma=adipiscor1"," postag=v-srppmn-",3
"231","lemma=adiuto1"," postag=v2slsa---",1
"232","lemma=adjicio"," postag=v--rna---",1
"233","lemma=adjicio"," postag=v1sria---",1
"234","lemma=adjicio"," postag=v3sria---",2
"235","lemma=adjicio1"," postag=v-srppfb-",1
"236","lemma=adjicio1"," postag=v3sria---",6
"237","lemma=adjudico"," postag=v3sria---",1
"238","lemma=adjungo1"," postag=v--pna---",1
"239","lemma=adjuro1"," postag=v3sria---",1
"240","lemma=adjuvo"," postag=v--pna---",1
"241","lemma=adjuvo"," postag=v___d_-b-",1
"242","lemma=adjuvo"," postag=v3sisa---",1
"243","lemma=adjuvo"," postag=v3spia---",1
"244","lemma=adjuvo1"," postag=v3pisa---",1
"245","lemma=adjuvo1"," postag=v3sria---",1
"246","lemma=admetior"," postag=v-srpdmn_",1
"247","lemma=administro"," postag=v-prppfb-",1
"248","lemma=administro"," postag=v-s-g-fg-",2
"249","lemma=administro"," postag=v-spp-ma-",1
"250","lemma=administro"," postag=v-srppfb-",1
"251","lemma=administro"," postag=v1sria---",1
"252","lemma=administro"," postag=v3siia---",1
"253","lemma=administro"," postag=v3sria---",3
"254","lemma=admiror"," postag=v-s-g-nn-",1
"255","lemma=admiror"," postag=v-spp-fn-",1
"256","lemma=admiror1"," postag=v-pppamd-",1
"257","lemma=admiror1"," postag=v-srppfn-",1
"258","lemma=admitto"," postag=v-srppfb-",1
"259","lemma=admitto"," postag=v-srppma-",1
"260","lemma=admitto"," postag=v3siia---",1
"261","lemma=admitto1"," postag=v-prppmn-",1
"262","lemma=admitto1"," postag=v-srppfg-",1
"263","lemma=admitto1"," postag=v-srppmb-",1
"264","lemma=admitto1"," postag=v-srppmn-",1
"265","lemma=admitto1"," postag=v-srppnn-",1
"266","lemma=admitto1"," postag=v2spia---",1
"267","lemma=admoneo"," postag=v--pna---",1
"268","lemma=admoneo"," postag=v3spia---",2
"269","lemma=admoneo"," postag=v3sria---",1
"270","lemma=admoneo1"," postag=v-srppma-",1
"271","lemma=admoneo1"," postag=v-srppmn-",1
"272","lemma=admoneo1"," postag=v3siia---",1
"273","lemma=admoneo1"," postag=v3spsa---",1
"274","lemma=admoneo1"," postag=v3sria---",1
"275","lemma=admoveo"," postag=v--pna---",1
"276","lemma=admoveo"," postag=v-prppfb-",1
"277","lemma=admoveo"," postag=v-srppfb-",1
"278","lemma=admoveo"," postag=v-srppnb-",1
"279","lemma=admoveo"," postag=v3sria---",2
"280","lemma=admoveo1"," postag=v-srppfb-",1
"281","lemma=admoveo1"," postag=v3sria---",3
"282","lemma=adnato"," postag=v3ppia---",1
"283","lemma=adnecto"," postag=v-srppfn-",1
"284","lemma=adoleo1"," postag=v3ppip---",1
"285","lemma=adolesco"," postag=v-srppfa-",1
"286","lemma=adolesco"," postag=v-srppfn-",1
"287","lemma=adolesco"," postag=v3pisa---",1
"288","lemma=adolesco1"," postag=v-srppfb-",1
"289","lemma=adolesco1"," postag=v3sria---",1
"290","lemma=adoperio"," postag=v-srppfb-",1
"291","lemma=adoperio1"," postag=v-prppna-",1
"292","lemma=adopto"," postag=v--pnp---",1
"293","lemma=adopto"," postag=v-spp-md-",1
"294","lemma=adopto"," postag=v___d_-g-",1
"295","lemma=adopto"," postag=v1sisa---",1
"296","lemma=adorno"," postag=v3pisa---",1
"297","lemma=adorno"," postag=v3sria---",1
"298","lemma=adoro1"," postag=v--pna---",1
"299","lemma=adoro1"," postag=v-pppafa-",1
"300","lemma=adoro1"," postag=v1sisa---",2
"301","lemma=adoro1"," postag=v1spia---",1
"302","lemma=adoro1"," postag=v2ppma---",1
"303","lemma=adoro1"," postag=v2spma---",2
"304","lemma=adoro1"," postag=v3pfia---",3
"305","lemma=adoro1"," postag=v3pisa---",1
"306","lemma=adoro1"," postag=v3ppia---",2
"307","lemma=adoro1"," postag=v3ppsa---",1
"308","lemma=adoro1"," postag=v3pria---",9
"309","lemma=adoro1"," postag=v3prsa---",1
"310","lemma=adoro1"," postag=v3srsa---",1
"311","lemma=adpeto"," postag=v-sppamn-",1
"312","lemma=adpeto1"," postag=v3siia---",1
"313","lemma=adprehendo1"," postag=v-srppfn-",1
"314","lemma=adprehendo1"," postag=v3spia---",1
"315","lemma=adrado1"," postag=v-srppna-",1
"316","lemma=adrego1"," postag=v3sria---",1
"317","lemma=adscio1"," postag=v--rna---",1
"318","lemma=adsedeo1"," postag=v2sria---",1
"319","lemma=adsedeo1"," postag=v3sria---",2
"320","lemma=adsentio1"," postag=v3piip---",1
"321","lemma=adservo1"," postag=v1sisa---",1
"322","lemma=adspiro"," postag=v2ppma---",1
"323","lemma=adsum"," postag=v--pna---",1
"324","lemma=adsum"," postag=v3siia---",2
"325","lemma=adsum"," postag=v3sisa---",1
"326","lemma=adsum1"," postag=v--fna---",1
"327","lemma=adsum1"," postag=v--pna---",1
"328","lemma=adsum1"," postag=v1slia---",1
"329","lemma=adsum1"," postag=v2sfia---",1
"330","lemma=adsum1"," postag=v3pfia---",1
"331","lemma=adsum1"," postag=v3sfia---",1
"332","lemma=adsum1"," postag=v3siia---",1
"333","lemma=adsum1"," postag=v3sisa---",1
"334","lemma=adulescens"," postag=v-pppamd_",1
"335","lemma=adulescens"," postag=v-sppamn_",1
"336","lemma=aduro1"," postag=v3siia---",1
"337","lemma=adveho"," postag=v-srppnn-",1
"338","lemma=advenio"," postag=v3stia---",1
"339","lemma=advenio1"," postag=v3pria---",1
"340","lemma=advenio1"," postag=v3spia---",1
"341","lemma=advenio1"," postag=v3sria---",1
"342","lemma=advento1"," postag=v-sppafb-",1
"343","lemma=advento1"," postag=v3siia---",1
"344","lemma=adverro1"," postag=v-prppfa-",1
"345","lemma=adverto"," postag=v-prppfb-",1
"346","lemma=adverto"," postag=v-prppfn-",1
"347","lemma=adverto"," postag=v-prppma-",1
"348","lemma=adverto"," postag=v-sppamb_",1
"349","lemma=adverto"," postag=v-srppfa-",1
"350","lemma=adverto"," postag=v-srppmb-",1
"351","lemma=adverto"," postag=v-srppmn-",1
"352","lemma=adverto"," postag=v-srppnb-",2
"353","lemma=adverto"," postag=v3stia---",1
"354","lemma=adverto1"," postag=v-prppfa-",1
"355","lemma=adverto1"," postag=v-prppma-",1
"356","lemma=adverto1"," postag=v-prppnb-",1
"357","lemma=adverto1"," postag=v-prppnn-",2
"358","lemma=adverto1"," postag=v-srppfn-",1
"359","lemma=adverto1"," postag=v-srppmb-",1
"360","lemma=advoco"," postag=v-srppfb-",1
"361","lemma=advoco"," postag=v3spia---",1
"362","lemma=advoco1"," postag=v-srppfb-",1
"363","lemma=advoco1"," postag=v1sria---",1
"364","lemma=advoco1"," postag=v3spia---",1
"365","lemma=advolo"," postag=v3ppia---",1
"366","lemma=advolo"," postag=v3sria---",1
"367","lemma=advolvo1"," postag=v3ppia---",1
"368","lemma=aedifico1"," postag=v1spia---",1
"369","lemma=aedifico1"," postag=v1sria---",2
"370","lemma=aedifico1"," postag=v2spia---",1
"371","lemma=aedifico1"," postag=v3ppia---",2
"372","lemma=aemulo1"," postag=v--pna---",1
"373","lemma=aequo1"," postag=v3spia---",1
"374","lemma=aequo1"," postag=v3sria---",1
"375","lemma=aestimo"," postag=v-ppp-mb-",1
"376","lemma=aestimo"," postag=v1spia---",1
"377","lemma=aestimo"," postag=v3spip---",1
"378","lemma=aestimo1"," postag=v--pna---",1
"379","lemma=aestimo1"," postag=v1spia---",3
"380","lemma=aestimo1"," postag=v3ppia---",1
"381","lemma=aestuo"," postag=v-spp-fa-",1
"382","lemma=aestuo1"," postag=v3pria---",1
"383","lemma=aestuo1"," postag=v3siia---",1
"384","lemma=aestuo1"," postag=v3spia---",1
"385","lemma=affecto"," postag=v--pna---",1
"386","lemma=affero"," postag=v--pna---",1
"387","lemma=affero"," postag=v-srppfb-",1
"388","lemma=affero"," postag=v3piia---",1
"389","lemma=affero"," postag=v3piip---",1
"390","lemma=affero"," postag=v3ppip---",1
"391","lemma=affero"," postag=v3spia---",1
"392","lemma=affero"," postag=v3spip---",1
"393","lemma=affero1"," postag=v--pna---",3
"394","lemma=affero1"," postag=v--pnp---",8
"395","lemma=affero1"," postag=v-prppfa-",1
"396","lemma=affero1"," postag=v-prppfn-",1
"397","lemma=affero1"," postag=v-prppnn-",2
"398","lemma=affero1"," postag=v-sppann-",1
"399","lemma=affero1"," postag=v-srppfn-",3
"400","lemma=affero1"," postag=v-srppmn-",3
"401","lemma=affero1"," postag=v-srppnn-",1
"402","lemma=affero1"," postag=v1sfia---",1
"403","lemma=affero1"," postag=v1sria---",1
"404","lemma=affero1"," postag=v2spma---",1
"405","lemma=affero1"," postag=v3pfia---",2
"406","lemma=affero1"," postag=v3pria---",2
"407","lemma=affero1"," postag=v3ptia---",1
"408","lemma=affero1"," postag=v3spia---",2
"409","lemma=affero1"," postag=v3spsa---",1
"410","lemma=affero1"," postag=v3sria---",3
"411","lemma=affero1"," postag=v3srsa---",1
"412","lemma=affero1"," postag=v3stia---",1
"413","lemma=afficio"," postag=v-srppma-",1
"414","lemma=afficio"," postag=v3ppip---",1
"415","lemma=afficio"," postag=v3sfip---",1
"416","lemma=afficio"," postag=v3sria---",1
"417","lemma=afficio1"," postag=v--pna---",1
"418","lemma=affigo1"," postag=v-prppnn-",1
"419","lemma=affirmo"," postag=v-spp-mn-",1
"420","lemma=affirmo"," postag=v3spia---",1
"421","lemma=affirmo"," postag=v3sria---",2
"422","lemma=affirmo1"," postag=v3siia---",1
"423","lemma=afflicto1"," postag=v--pna---",1
"424","lemma=afflicto1"," postag=v3ppip---",1
"425","lemma=affligo"," postag=v-prppfd-",1
"426","lemma=affligo"," postag=v-srppfn-",1
"427","lemma=affligo"," postag=v-srppma-",1
"428","lemma=affligo"," postag=v3ppip---",1
"429","lemma=afflo1"," postag=v-srppfn-",1
"430","lemma=afflo1"," postag=v3spia---",1
"431","lemma=affluo"," postag=v-spp-ma-",1
"432","lemma=affluo1"," postag=v3pisa---",1
"433","lemma=affor"," postag=v-srpdfn_",1
"434","lemma=affor1"," postag=v3spip---",1
"435","lemma=aggravo"," postag=v3ppia---",1
"436","lemma=aggredior"," postag=v--pnd---",3
"437","lemma=aggredior"," postag=v-srpdfn_",1
"438","lemma=aggredior"," postag=v1spid---",1
"439","lemma=aggredior"," postag=v3pisd---",1
"440","lemma=aggredior1"," postag=v-prppma-",1
"441","lemma=aggredior1"," postag=v1ppip---",1
"442","lemma=aggredior1"," postag=v2ppmp---",1
"443","lemma=aggredior1"," postag=v3sisp---",1
"444","lemma=aggredior1"," postag=v3spip---",1
"445","lemma=aggrego"," postag=v3stia---",1
"446","lemma=agino1"," postag=v1sria---",1
"447","lemma=agito"," postag=v-ppp-mn-",1
"448","lemma=agito"," postag=v-spp-mg-",1
"449","lemma=agito"," postag=v-srppnn-",1
"450","lemma=agito"," postag=v3spip---",1
"451","lemma=agito1"," postag=v--pna---",3
"452","lemma=agito1"," postag=v--rna---",1
"453","lemma=agito1"," postag=v-pppana-",1
"454","lemma=agito1"," postag=v-prppna-",2
"455","lemma=agito1"," postag=v-sppamd-",2
"456","lemma=agito1"," postag=v-sppanb-",1
"457","lemma=agito1"," postag=v1ppia---",1
"458","lemma=agito1"," postag=v1sria---",1
"459","lemma=agito1"," postag=v3piia---",1
"460","lemma=agito1"," postag=v3piip---",1
"461","lemma=agito1"," postag=v3pria---",1
"462","lemma=agito1"," postag=v3siia---",1
"463","lemma=agito1"," postag=v3siip---",2
"464","lemma=agnosco"," postag=v--pna---",1
"465","lemma=agnosco"," postag=v3spia---",1
"466","lemma=agnosco1"," postag=v2spsa---",1
"467","lemma=agnosco1"," postag=v3spia---",1
"468","lemma=ago"," postag=v--pna---",2
"469","lemma=ago"," postag=v--pnp---",1
"470","lemma=ago"," postag=v-ppp-ma-",1
"471","lemma=ago"," postag=v-prppma-",1
"472","lemma=ago"," postag=v-prppmb-",1
"473","lemma=ago"," postag=v-prppna-",3
"474","lemma=ago"," postag=v-prppnb-",1
"475","lemma=ago"," postag=v-prppnn-",1
"476","lemma=ago"," postag=v-s-g-nn-",1
"477","lemma=ago"," postag=v-spp-fn-",1
"478","lemma=ago"," postag=v-spp-mn-",1
"479","lemma=ago"," postag=v_s_da-b-",1
"480","lemma=ago"," postag=v1siia---",2
"481","lemma=ago"," postag=v1sria---",2
"482","lemma=ago"," postag=v2spia---",1
"483","lemma=ago"," postag=v2spma---",3
"484","lemma=ago"," postag=v2sria---",1
"485","lemma=ago"," postag=v2srsa---",1
"486","lemma=ago"," postag=v3piip---",1
"487","lemma=ago"," postag=v3pisa---",1
"488","lemma=ago"," postag=v3pria---",1
"489","lemma=ago"," postag=v3siia---",1
"490","lemma=ago"," postag=v3sisp---",2
"491","lemma=ago"," postag=v3slia---",2
"492","lemma=ago"," postag=v3spip---",1
"493","lemma=ago"," postag=v3sria---",3
"494","lemma=ago1"," postag=v--pna---",6
"495","lemma=ago1"," postag=v-prppfb-",1
"496","lemma=ago1"," postag=v-prppnb-",1
"497","lemma=ago1"," postag=v-sppamn-",1
"498","lemma=ago1"," postag=v-sppanb-",1
"499","lemma=ago1"," postag=v-sppang-",1
"500","lemma=ago1"," postag=v-srppmn-",1
"501","lemma=ago1"," postag=v-srppnn-",1
"502","lemma=ago1"," postag=v1ppia---",2
"503","lemma=ago1"," postag=v1sfia---",1
"504","lemma=ago1"," postag=v1spia---",3
"505","lemma=ago1"," postag=v1spip---",1
"506","lemma=ago1"," postag=v1spsa---",1
"507","lemma=ago1"," postag=v1sria---",1
"508","lemma=ago1"," postag=v2pfia---",1
"509","lemma=ago1"," postag=v2ppma---",1
"510","lemma=ago1"," postag=v2spia---",3
"511","lemma=ago1"," postag=v2spma---",4
"512","lemma=ago1"," postag=v2srsa---",1
"513","lemma=ago1"," postag=v2stia---",1
"514","lemma=ago1"," postag=v3piia---",1
"515","lemma=ago1"," postag=v3pisa---",1
"516","lemma=ago1"," postag=v3ppia---",2
"517","lemma=ago1"," postag=v3ppip---",1
"518","lemma=ago1"," postag=v3ppsa---",2
"519","lemma=ago1"," postag=v3ptia---",1
"520","lemma=ago1"," postag=v3sfia---",1
"521","lemma=ago1"," postag=v3sisa---",2
"522","lemma=ago1"," postag=v3slia---",1
"523","lemma=ago1"," postag=v3slsa---",1
"524","lemma=ago1"," postag=v3spia---",3
"525","lemma=ago1"," postag=v3spip---",2
"526","lemma=ago1"," postag=v3spsa---",1
"527","lemma=ago1"," postag=v3sria---",3
"528","lemma=aio"," postag=v3siia---",1
"529","lemma=aio"," postag=v3spia---",8
"530","lemma=aio"," postag=v3sria---",4
"531","lemma=aio1"," postag=v3piia---",3
"532","lemma=aio1"," postag=v3ppia---",3
"533","lemma=aio1"," postag=v3siia---",1
"534","lemma=aio1"," postag=v3spia---",20
"535","lemma=ait"," postag=v3spia---",1
"536","lemma=algeo1"," postag=v-pppamn-",1
"537","lemma=alieno1"," postag=v-srppma-",1
"538","lemma=allabor"," postag=v3spid---",1
"539","lemma=allego1"," postag=v-ppp_fa_",1
"540","lemma=allego1"," postag=v3sisa---",1
"541","lemma=allego2"," postag=v-prppmn_",1
"542","lemma=allego2"," postag=v-srppfn_",1
"543","lemma=allego2"," postag=v3sria---",2
"544","lemma=allicio"," postag=v3spia---",1
"545","lemma=alligo"," postag=v3ppia---",1
"546","lemma=alligo1"," postag=v-prppmn-",1
"547","lemma=alligo1"," postag=v-prppna-",1
"548","lemma=alligo1"," postag=v-srppfa-",1
"549","lemma=alligo1"," postag=v-srppfb-",1
"550","lemma=alligo1"," postag=v-srppmn-",1
"551","lemma=alligo1"," postag=v3spia---",1
"552","lemma=alloquor"," postag=v1spid---",1
"553","lemma=alludo"," postag=v3srsa---",1
"554","lemma=alo"," postag=v3piip---",1
"555","lemma=alo1"," postag=v3ppip---",1
"556","lemma=alo1"," postag=v3pria---",1
"557","lemma=alo1"," postag=v3siia---",2
"558","lemma=alo1"," postag=v3spip---",1
"559","lemma=amarico1"," postag=v--pna---",1
"560","lemma=amarico1"," postag=v-srppmn-",1
"561","lemma=ambio"," postag=v3pisa---",1
"562","lemma=ambulo1"," postag=v--pna---",2
"563","lemma=ambulo1"," postag=v1ppia---",1
"564","lemma=ambulo1"," postag=v1sisa---",1
"565","lemma=ambulo1"," postag=v1spia---",1
"566","lemma=ambulo1"," postag=v3pfia---",2
"567","lemma=ambulo1"," postag=v3spia---",1
"568","lemma=ambulo1"," postag=v3spsa---",1
"569","lemma=amicio"," postag=v-prppma_",1
"570","lemma=amicio"," postag=v-srppmn-",1
"571","lemma=amicio,"," postag=v1ppip---",1
